"{0.9397408660230991, 2.29255225846776}","{0.9600232065834268, 2.12014550153869}"
"{0.9788166961254073, 1.08950427967495}","{0.9807647586928483, 0.513994710596976}"
"{0.8973792763098781, 0.812504330017384}","{0.9526739934537242, 0.963436336447132}"
"{0.9495242819299121, 0.923666576938349}","{1.1387444297540397, 0.898772869427618}"
"{0.88200410158852, 0.914445849403535}","{0.8979567794734776, 1.34503743017675}"
"{1.521980569941947, 1.76884154128144}","{1.53752367570097, 1.16837014475504}"
"{1.954971726457925, 3.79253200566108}","{1.955431373555735, 2.55782299389149}"
"{0.9391957861273066, 0.969997399906604}","{1.2903590553727193, 1.48204440187106}"
"{3.6258830250112335, 4.67776918535488}","{4.124294604321488, 4.30727031281639}"
"{2.075698979977235, 0.893778012554016}","{4.102376172573318, 2.2328821369429}"
"{0.8916837633081959, 0.870718971247797}","{0.8916850853587646, 0.773468171536951}"
"{1.5377574686607927, 3.22068796687812}","{1.5379750238333003, 1.83270989404837}"
"{1.2533496555774868, 1.38190764040615}","{3.642075664471211, 2.90893016645437}"
"{4.270282193485638, 3.44292337140477}","{4.271396283847638, 2.35600051537841}"
"{0.9453587589438057, 1.48106376956259}","{0.9573466583471182, 1.61891457337229}"
"{4.2702749517197205, 4.11129853307312}","{4.271395306726185, 2.81992563209425}"
"{0.9148878557112592, 0.759708182364181}","{1.0541262082187064, 1.03845647980301}"
"{1.0962124619998526, 0.675678657216632}","{1.765158954400425, 2.78431399088683}"
"{1.0004222970460606, 0.929690803164261}","{1.4527777092185836, 1.33742952264749}"
"{1.954971726457925, 1.62814811956519}","{1.955431373555735, 0.984637729735769}"
"{0.9681842802610188, 0.932840509392434}","{1.0964969875059318, 0.882195293129852}"
"{0.8869235656047255, 0.992550644604804}","{0.9316856699506085, 1.49338299900095}"
"{0.945361914814446, 1.93058530299027}","{0.9573534444642247, 1.08660543943461}"
"{1.1375319349160902, 1.06158926383574}","{1.5102588140977653, 1.15458806329549}"
"{1.446874623561752, 2.14980559354882}","{1.531675874876093, 2.05137264241253}"
"{0.8903338731778736, 0.848599993231481}","{1.0216252715174525, 0.772050472356552}"
"{19.198781844260672, 19.3356019244616}","{21.935799997625363, 28.7381342475555}"
"{1.0624063096196992, 1.91717154028935}","{1.0950667790689284, 1.0392247949834}"
"{0.8948093353506057, 1.14688650760814}","{0.8948159775469463, 0.782705023152442}"
"{0.8906835713254804, 1.27819915139012}","{0.9071419299667863, 0.730204831890305}"
"{22.128271164538624, 9.11148550641144}","{22.13735979196688, 7.35353849069442}"
"{4.631701424760157, 1.96480706766401}","{4.63294119190648, 1.41406022048531}"
"{0.8916808057173955, 0.940975686516564}","{0.8916848799031065, 1.26415816212782}"
"{1.964187829534618, 4.26322958691018}","{3.017562709548142, 7.70394877789277}"
"{1.0909555015655716, 1.05743278767858}","{1.1055030867355278, 0.891591070640352}"
"{4.089175613615361, 2.33758164980267}","{7.205775382993773, 3.30172429460996}"
"{0.9028234070114464, 0.91159639753437}","{0.9070883517929474, 0.684857939601287}"
"{0.9633437703724104, 0.7360057087993}","{1.6840315507666574, 0.839602629983084}"
"{0.8841098355223023, 0.397164218866725}","{0.8887992518377255, 0.661717681628005}"
"{0.8995097920793794, 1.46163975396687}","{0.9540036046193586, 1.12087289221316}"
"{0.9807857507302138, 1.1727835176127}","{0.9808202849384048, 1.02035079938562}"
"{0.8803804300003902, 1.43478356206586}","{0.8833445986926018, 1.24747185630024}"
"{0.8816603756640884, 0.586539895343871}","{0.8909682730182148, 0.544349555754221}"
"{0.9608647228810695, 1.09371721482874}","{0.9608924795698032, 0.814429626101453}"
"{1.7506731835934202, 1.17292705029549}","{1.9087599874994652, 1.43474889165373}"
"{0.9226581431199905, 1.38339308015853}","{1.3244295837616062, 1.75822307893384}"
"{22.136121408892514, 16.648060619661}","{22.139424150264627, 11.990694224516}"
"{0.8801379381130627, 1.48048811851245}","{0.8835319340552746, 0.697607887053431}"
"{1.1028151635815606, 1.82101175816359}","{1.9889887976299365, 13.1789029160911}"
"{16.629142979064593, 17.758546562651}","{21.91263164252281, 13.6867403828446}"
"{1.1087267286536662, 1.68219269971175}","{1.1503525938935286, 1.18179810035291}"
"{0.8877033803742544, 1.42568668272878}","{0.9657210217228471, 1.05296292759528}"
"{0.8866739622417833, 1.6312339757698}","{0.942532215957808, 1.54785530946522}"
"{0.8841056945324306, 0.530581430219048}","{0.8887742250687649, 0.541765840262364}"
"{1.7506731835934202, 2.09122389846167}","{1.9087599874994652, 1.55967915828067}"
"{0.9083561775679934, 1.64878178354404}","{0.9083657840687676, 0.937976474968041}"
"{0.8809943002547194, 0.534448831859671}","{0.8825946391698682, 0.825856243928286}"
"{0.9604044907993884, 2.54668764582559}","{0.9604089188157575, 1.40282382782133}"
"{0.8974030834609759, 3.34072109701991}","{0.9532884401284156, 2.61961971172498}"
"{21.08011806180874, 56.8520112142939}","{22.105214489007654, 52.9544633683814}"
"{3.5980938976488357, 3.01268319482668}","{3.6638458449511666, 2.23133239101635}"
"{0.9608510178662796, 0.721379830863718}","{0.9608859133113935, 0.560359086448842}"
"{0.9006353132302038, 0.76604241060601}","{1.0256349513336493, 0.784201301285897}"
"{1.9055246276900648, 6.21914180082635}","{1.9539511204893456, 5.0410254159935}"
"{4.631658436543622, 5.03570184791761}","{4.632935068340975, 3.58096443617286}"
"{0.8860759111164586, 1.32308196400088}","{0.8932739265895333, 1.11667664674838}"
"{1.6514090284760616, 0.953086773514789}","{6.173160424843565, 5.26554448310091}"
"{0.8869660141471936, 0.384596022858796}","{0.9319546172427909, 0.565594749631443}"
"{0.9603660515724984, 1.63974721196469}","{0.9604007337150979, 1.23940918627161}"
"{0.8918605573168586, 1.58034925908686}","{0.8941434773713303, 1.08602056574995}"
"{9.156746448339403, 4.56170294497748}","{17.193627808581294, 8.3515398653602}"
"{2.395508177525767, 2.11021913746816}","{8.057232052739886, 8.4616603598859}"
"{3.5980938976488357, 4.08635424102744}","{3.6638458449511666, 2.81034650103734}"
"{0.9291288124518551, 1.70556089896008}","{0.9750997536342443, 1.13539066667772}"
"{0.9807871303826501, 1.1270933395483}","{0.9808204798365673, 0.710670804917567}"
"{0.9214048763871244, 0.492965960366569}","{1.0513036751722293, 0.444204898866826}"
"{0.8802612480937787, 0.618917747827417}","{0.8830089502018277, 0.735810923669618}"
"{0.9028234070114464, 0.689790802893352}","{0.9070883517929474, 0.528412439804512}"
"{0.9186830860913339, 1.87617961392941}","{1.0727620467338177, 2.15667902788646}"
"{1.1570730928315367, 0.911994807549922}","{1.162509866298463, 0.876930245084521}"
"{0.8798060589317424, 1.29612328049875}","{0.887225424071284, 1.04474234842954}"
"{1.9554246244850466, 1.59667294987786}","{1.9555393253399078, 1.15530151278661}"
"{0.964134823273755, 1.58085937440618}","{0.9802548664199615, 1.17179308678838}"
"{0.9043430984408154, 0.90271418255867}","{0.9080876349508387, 0.676118601232546}"
"{2.521105395152598, 2.99794148577672}","{4.260085688117439, 4.9026077866565}"
"{1.1059635084617627, 0.836356080000326}","{1.1060384026932197, 0.729287968309603}"
"{0.9675678958099316, 1.09749368854458}","{1.0532896589903706, 1.23864611741413}"
"{0.8896464518162479, 0.64170945763358}","{0.8916157808976001, 0.34724421085536}"
"{0.8794773904070592, 1.03131220776787}","{0.882016480674445, 0.813247228627897}"
"{0.8794773904070592, 0.175612970980325}","{0.882016480674445, 0.201471420486701}"
"{3.280373468730336, 4.8081279286114}","{3.639107913058203, 4.16708250806043}"
"{0.9059682265913379, 1.39796895901096}","{1.0621832119514567, 0.643385592641286}"
"{0.8829230352128913, 0.687989969140557}","{0.8933964030397092, 0.805352881346791}"
"{0.8828743658403551, 0.39778842281141}","{0.8835264427357019, 0.420802568942446}"
"{0.8816321916076324, 1.39246813712822}","{0.889893320037575, 1.20643736087911}"
"{0.8808357182800338, 0.332905856502447}","{0.9001133575865113, 0.364715420458455}"
"{0.8793260893509665, 2.01045054255533}","{0.8794878187039734, 1.20418642783084}"
"{0.8837170285319998, 0.898983141918845}","{0.8837189038721098, 0.731437110094631}"
"{3.817513897164562, 4.46340643035025}","{4.241790501629881, 7.1382793691668}"
"{8.740583046584444, 13.1882121816443}","{9.111542697248858, 13.0965970072239}"
"{0.960403654332441, 2.51315416870148}","{0.9604088937914282, 1.72419311142426}"
"{0.8820266370890911, 0.859347166397864}","{0.9207667565565643, 0.929838552961935}"
"{3.664334650055502, 5.99536647613646}","{3.6655258747852937, 4.55325697127527}"
"{0.9236102844381522, 1.07812784420293}","{1.493961416828418, 1.56239811073953}"
"{0.9658222487197808, 1.00602938100204}","{1.3042309523089313, 3.32957424851239}"
"{1.132741413526653, 0.484947098839043}","{2.6182661942182524, 1.12645527631078}"
"{3.6654818843837296, 7.7876211339454}","{3.66580128120627, 7.20308981316676}"
"{0.9083650494528643, 0.589724658565682}","{0.9083663340237418, 0.417230489514575}"
"{0.908364737511671, 0.779442389249395}","{0.908366325041851, 0.660498797721838}"
"{0.9499724563440382, 0.779600292266159}","{0.9601803361232244, 0.778842637533482}"
"{1.521980569941947, 3.72956587298095}","{1.53752367570097, 2.33711107146441}"
"{1.8066723267190703, 0.948614928938502}","{1.945229016126286, 1.10377114788063}"
"{0.8797399931667086, 1.23773062080744}","{0.8856246288546746, 1.08165394580512}"
"{1.1060180568401592, 2.94294843831659}","{1.1060422237083016, 2.17065308329224}"
"{0.8861945138025992, 1.15490516187097}","{0.9132323934252699, 1.09651507661888}"
"{0.9010723747412263, 0.932195494828003}","{1.0189215690322373, 0.779265069887261}"
"{1.955369932264689, 2.07543200689227}","{1.9555371276886306, 1.8281581389802}"
"{3.5269557216709404, 4.6892582410704}","{3.6613126665606255, 3.75107820499792}"
"{1.2049970111459096, 1.11282333489626}","{5.241215911804136, 10.8218653059947}"
"{0.9675814241485013, 1.76558468086754}","{1.053370643548197, 1.83621790557448}"
"{1.9549726705962993, 2.07114957838002}","{1.955432843742853, 1.94457941045757}"
"{0.9492654281129851, 1.23952057378103}","{0.9605117266668257, 0.67464346848405}"
"{1.4498384530272157, 2.71478094835315}","{1.5322262402400464, 2.3285578638855}"
"{0.8847822321024763, 0.737852199655429}","{0.8912607377080621, 0.581428021900001}"
